,sona,subject,set,Q1 Median,Q2 Median,Q3 Median,Q1,Q2,Q3,Q1 Mean,Q2 Mean,Q3 Mean,Q1 responses,Q2 responses,Q3 responses,Q1 RT,Q2 RT,Q3 RT,subject_gender,subject_age,understood task
44,36018,SSSQ0064,0 1 2 3 4,3.5,3.5,4.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.5,3.875,4.0,8,8,8,1673.0,366.0,332.5,Female,20,False
45,36018,SSSQ0064,0 1 2 4 5,3.0,3.0,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.4444444444444446,3.4444444444444446,3.4444444444444446,9,9,9,1830.0,285.0,398.0,Female,20,False
46,36018,SSSQ0064,0 1 2 5 7,3.0,3.5,3.5,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.25,3.875,3.5,8,8,8,2345.5,412.5,290.0,Female,20,False
47,36018,SSSQ0064,0 1 2 6 7,4.0,4.0,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.5555555555555554,3.888888888888889,3.111111111111111,9,9,9,5136.0,300.0,296.0,Female,20,False
48,36018,SSSQ0064,0 1 2 6 8,3.0,3.0,4.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.1,3.4,3.6,10,10,10,1653.5,394.0,493.0,Female,20,False
49,36018,SSSQ0064,0 1 3 4 7,4.0,4.0,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.625,3.75,3.125,8,8,8,3772.0,401.5,322.5,Female,20,False
50,36018,SSSQ0064,0 1 3 4 8,4.0,3.5,4.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.75,3.5,4.125,8,8,8,3213.5,448.0,396.5,Female,20,False
51,36018,SSSQ0064,0 1 3 6 7,3.0,3.0,4.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.5,3.375,3.625,8,8,8,1657.0,321.0,561.0,Female,20,False
52,36018,SSSQ0064,0 1 4 5 6,4.0,4.0,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.7,3.8,3.3,10,10,10,1740.0,372.5,464.0,Female,20,False
53,36018,SSSQ0064,0 1 4 5 7,3.0,3.0,4.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.3333333333333335,3.2222222222222223,3.6666666666666665,9,9,9,1200.0,298.0,302.0,Female,20,False
